tiempo,fuerza,desplazamiento,timestamp,deformacion,esfuerzo
1,0.382,0.12,1776987757.473,0.0024,0.031833
2,0.511,0.24,1776987758.475,0.0048,0.042583
3,0.475,0.36,1776987759.487,0.0072,0.039583
4,1.024,0.48,1776987760.478,0.0096,0.085333
5,0.906,0.6,1776987761.475,0.012,0.0755
6,1.479,0.72,1776987762.484,0.0144,0.12325
7,1.688,0.84,1776987763.473,0.0168,0.140667
8,1.869,0.96,1776987764.472,0.0192,0.15575
9,2.032,1.08,1776987765.482,0.0216,0.169333
10,1.975,1.2,1776987766.474,0.024,0.164583
11,2.2,1.32,1776987767.487,0.0264,0.183333
12,2.776,1.44,1776987768.481,0.0288,0.231333
13,2.955,1.56,1776987769.477,0.0312,0.24625
14,2.984,1.68,1776987770.474,0.0336,0.248667
15,3.159,1.8,1776987771.474,0.036,0.26325
16,3.471,1.92,1776987772.473,0.0384,0.28925
17,3.603,2.04,1776987773.474,0.0408,0.30025
18,4.06,2.16,1776987774.474,0.0432,0.338333
19,3.923,2.28,1776987775.47,0.0456,0.326917
20,4.401,2.4,1776987776.472,0.048,0.36675
21,4.395,2.52,1776987777.484,0.0504,0.36625
22,4.833,2.64,1776987778.474,0.0528,0.40275
23,4.976,2.76,1776987779.47,0.0552,0.414667
24,5.028,2.88,1776987780.47,0.0576,0.419
25,5.39,3.0,1776987781.474,0.06,0.449167
26,5.775,3.12,1776987782.47,0.0624,0.48125
27,5.826,3.24,1776987783.469,0.0648,0.4855
28,5.986,3.36,1776987784.473,0.0672,0.498833
29,6.304,3.48,1776987785.476,0.0696,0.525333
30,6.607,3.6,1776987786.474,0.072,0.550583
31,6.738,3.72,1776987788.659,0.0744,0.5615
32,7.092,3.84,1776987788.702,0.0768,0.591
33,7.208,3.96,1776987790.659,0.0792,0.600667
34,7.238,4.08,1776987790.703,0.0816,0.603167
35,7.471,4.2,1776987792.548,0.084,0.622583
36,7.947,4.32,1776987792.567,0.0864,0.66225
37,8.116,4.44,1776987793.476,0.0888,0.676333
38,8.08,4.56,1776987794.471,0.0912,0.673333
39,8.392,4.68,1776987795.47,0.0936,0.699333
